cited_outlet,citing_outlet,url,published_at,mentions
Gazeta.uz,Spot.uz,https://www.spot.uz/ru/2026/07/23/covec,2026-07-23T17:40:18+05:00,2
Gazeta.uz,Spot.uz,https://www.spot.uz/ru/2026/07/28/tourism-qr,2026-07-28T19:00:42+05:00,1
Gazeta.uz,Repost.uz,https://repost.uz/chto-za-iniciativi-takie,2026-08-06T08:35:00+05:00,2
Kun.uz,Gazeta.uz,https://www.gazeta.uz/ru/2026/07/29/tashtech,2026-07-29T13:00:39+05:00,1
Kun.uz,Daryo.uz,https://daryo.uz/ru/2026/07/23/otmena-sistemy-keshbeka-za-pokupki-uzbekistan,2026-07-23T12:19:18+05:00,2
Daryo.uz,Gazeta.uz,https://www.gazeta.uz/ru/2026/08/03/harassment,2026-08-03T19:07:25+05:00,1
Daryo.uz,Kun.uz,https://kun.uz/ru/news/2026/08/04/sud-otmenil-shtraf-devushke-kotoraya-krikom-zashchishchalas-ot-domogatelstv,2026-08-04T10:10:00+05:00,1
Daryo.uz,Kun.uz,https://kun.uz/ru/news/2026/08/04/xokim-shaxrisabza-bez-priglasheniya-voshel-v-jiloy-dom-i-prikazal-oshtrafovat-yego-xozyaina,2026-08-04T17:45:00+05:00,1
Daryo.uz,Podrobno.uz,https://podrobno.uz/cat/proisshestviya/skonchalsya-voditel-chevrolet-onix-postradavshiy-v-rezonansnom-dtp-s-patrulnymi-mototsiklami,2026-07-29T00:00:00+05:00,2
Daryo.uz,Podrobno.uz,https://podrobno.uz/cat/economic/v-uzbekistane-predlozhili-vvesti-nalog-na-dokhody-po-bankovskim-depozitam,2026-07-30T00:00:00+05:00,1
Daryo.uz,Repost.uz,https://repost.uz/povtorno-vse-budut-sdavat,2026-07-13T09:14:00+05:00,2
Daryo.uz,UzNews.uz,https://www.uznews.uz/ru/news/111488,2026-07-27T00:00:00+05:00,1
Daryo.uz,LEAP News,https://leap.uz/ru/2026/08/05/termez-water-supply-restoration-aug5,2026-08-05T12:18:00+05:00,2
Spot.uz,Gazeta.uz,https://www.gazeta.uz/ru/2026/07/08/play,2026-07-08T19:45:25+05:00,1
Spot.uz,Gazeta.uz,https://www.gazeta.uz/ru/2026/07/10/gas-import,2026-07-10T12:16:18+05:00,1
Spot.uz,Gazeta.uz,https://www.gazeta.uz/ru/2026/07/22/way-ll,2026-07-22T11:00:15+05:00,1
Spot.uz,Gazeta.uz,https://www.gazeta.uz/ru/2026/08/06/tbc-bank,2026-08-06T17:00:35+05:00,1
