event_id,event,outlet,channel,url,headline,published_at,lag_hours,first,words,named_sources,quotes,primary_doc_links,clickbait_headline,returns,return_at,depth,site_url,site_title,site_published_at,site_words,site_named_sources,site_quotes,site_primary_links,site_links_external,source,site_depth
1,"реформ, стратегического, развития, умурзаков, сардор, советника",Repost.uz,telegram,https://t.me/RepostUZ/84209,Сардор Умурзаков возглавил Агентство стратегического развития и реформ,2026-07-10T13:01:01+05:00,0.0,True,28,0,0,0,False,1,2026-07-10T20:00:58+05:00,только факт,https://repost.uz/doljnost-sovetnika-uprazdnili,Сардор Умурзаков возглавил Агентство стратегического развития и реформ,2026-07-10T12:56:00+05:00,92.0,1.0,0.0,0.0,2.0,сайт,только факт
1,"реформ, стратегического, развития, умурзаков, сардор, советника",Gazeta.uz,telegram,https://t.me/gazetauz/62787,Президент Узбекистана назначил Сардора Умурзакова руководителем Агентства стратегического развития и реформ. Ранее он занимал пост,2026-07-10T13:05:49+05:00,0.1,False,40,0,0,0,False,0,,только факт,https://www.gazeta.uz/ru/2026/07/10/agency-of-reforms/,Сардор Умурзаков возглавил Агентство стратегического развития и реформ,2026-07-10T13:04:46+05:00,144.0,1.0,1.0,0.0,1.0,сайт,только факт
1,"реформ, стратегического, развития, умурзаков, сардор, советника",UzNews.uz,telegram,https://t.me/uznews/48243,Сардор Умурзаков назначен директором Агентства стратегического развития и реформ,2026-07-10T13:05:51+05:00,0.1,False,25,0,0,0,False,0,,только факт,https://uznews.uz/ru/news/111084,Сардор Умурзаков назначен директором Агентства стратегического развития и реформ,2026-07-10T00:00:00+05:00,64.0,0.0,0.0,0.0,1.0,сайт,только факт
1,"реформ, стратегического, развития, умурзаков, сардор, советника",Spot.uz,telegram,https://t.me/spotuz/38804,Сардор Умурзаков возглавил Агентство стратегического развития и реформ,2026-07-10T13:08:28+05:00,0.1,False,120,0,0,0,False,0,,контекст,https://www.spot.uz/ru/2026/07/10/sardor-umurzakov/,Сардор Умурзаков возглавил Агентство стратегического развития и реформ,2026-07-10T13:05:26+05:00,258.0,1.0,1.0,0.0,1.0,сайт,только факт
1,"реформ, стратегического, развития, умурзаков, сардор, советника",Kun.uz,telegram,https://t.me/kunuzru/73176,Умурзаков назначен директором Агентства стратегического развития и реформ,2026-07-10T13:50:10+05:00,0.8,False,64,1,0,0,False,0,,только факт,https://kun.uz/ru/06547096,Умурзаков назначен директором Агентства стратегического развития и реформ,2026-07-10T18:38:14+05:00,48.0,1.0,0.0,0.0,1.0,сайт,только факт
1,"реформ, стратегического, развития, умурзаков, сардор, советника",Podrobno.uz,telegram,https://t.me/podrobno/88463,Президент Узбекистана Шавкат Мирзиёев назначил Сардора Умурзакова директором Агентства стратегического развития и реформ. В связи,2026-07-10T13:54:10+05:00,0.9,False,41,0,0,0,False,0,,только факт,https://podrobno.uz/cat/politic/sardor-umurzakov-pokinul-post-sovetnika-prezidenta/,Сардор Умурзаков покинул пост советника президента,2026-07-10T00:00:00+05:00,74.0,1.0,0.0,0.0,1.0,сайт,только факт
2,"граждан, регистрации, находиться, кыргызстан, пребывания, кыргызстане",Spot.uz,telegram,https://t.me/spotuz/39167,Узбекистанцы смогут находиться в Кыргызстане без регистрации до 15 дней,2026-07-30T18:16:37+05:00,0.0,True,111,0,0,0,False,0,,только факт,https://www.spot.uz/ru/2026/07/30/kyrgyzstan-registration/,Узбекистанцы смогут находиться в Кыргызстане без регистрации до 15 дней,2026-07-30T18:14:42+05:00,197.0,1.0,0.0,0.0,0.0,сайт,только факт
2,"граждан, регистрации, находиться, кыргызстан, пребывания, кыргызстане",Repost.uz,telegram,https://t.me/RepostUZ/84976,С 5 до 15 дней: Узбекистан и Кыргызстан увеличат срок пребывания граждан без регистрации,2026-07-30T18:44:50+05:00,0.5,False,32,0,0,0,False,0,,только факт,https://repost.uz/vot-teper-udobnee,С 5 до 15 дней: Узбекистан и Кыргызстан увеличат срок пребывания граждан без регистрации,2026-07-30T18:33:00+05:00,119.0,1.0,0.0,0.0,2.0,сайт,только факт
2,"граждан, регистрации, находиться, кыргызстан, пребывания, кыргызстане",Gazeta.uz,telegram,https://t.me/gazetauz/63257,Узбекистан и Кыргызстан упростят правила пребывания граждан.,2026-07-30T20:30:01+05:00,2.2,False,37,0,0,0,False,0,,только факт,https://www.gazeta.uz/ru/2026/07/30/uzb-kg-visit/,Граждане Узбекистана смогут находиться в Кыргызстане без регистрации до 15 суток,2026-07-30T18:46:46+05:00,260.0,4.0,2.0,0.0,0.0,сайт,контекст
2,"граждан, регистрации, находиться, кыргызстан, пребывания, кыргызстане",Podrobno.uz,telegram,https://t.me/podrobno/89268,Узбекистан и Кыргызстан договорились освободить граждан двух стран от обязательной регистрации в течение 15 суток,2026-07-30T20:50:13+05:00,2.6,False,29,0,0,0,False,0,,только факт,https://podrobno.uz/cat/politic/uzbekistan-i-kyrgyzstan-uvelichat-srok-prebyvaniya-bez-registratsii-do-15-sutok/,Узбекистан и Кыргызстан увеличат срок пребывания без регистрации до 15 суток,2026-07-30T00:00:00+05:00,121.0,1.0,0.0,0.0,0.0,сайт,только факт
