event_id,event,outlet,channel,url,headline,published_at,lag_hours,first,words,named_sources,quotes,primary_doc_links,clickbait_headline,returns,return_at,depth,site_url,site_title,site_published_at,site_words,site_named_sources,site_quotes,site_primary_links,site_links_external,source,site_depth
1,"2028, samarkand-, спутник, орбиту, успешно, гиперспектральный",UzNews.uz,telegram,https://t.me/uznews/48575,Спутник Samarkand-2028 запустят на орбиту 5 августа,2026-08-03T19:33:09+05:00,0.0,True,27,0,0,0,False,1,2026-08-05T09:24:04+05:00,только факт,https://uznews.uz/ru/news/111705,Спутник Samarkand-2028 запустят на орбиту 5 августа,2026-08-03T00:00:00+05:00,186.0,2.0,1.0,0.0,1.0,сайт,контекст
1,"2028, samarkand-, спутник, орбиту, успешно, гиперспектральный",Repost.uz,telegram,https://t.me/RepostUZ/85104,"Стало известно, когда запустят спутник Samarkand-2028",2026-08-03T20:45:33+05:00,1.2,False,52,1,0,0,True,2,2026-08-05T09:19:58+05:00,только факт,https://repost.uz/tak-prigotovtes-mi-vzletaem,"Стало известно, когда запустят спутник Samarkand-2028",2026-08-03T20:31:00+05:00,174.0,4.0,0.0,0.0,2.0,сайт,контекст
1,"2028, samarkand-, спутник, орбиту, успешно, гиперспектральный",Kun.uz,telegram,https://t.me/kunuzru/73553,Гиперспектральный спутник Samarkand-2028 выведут на орбиту 5 августа,2026-08-04T11:50:08+05:00,16.3,False,105,1,1,0,False,0,,только факт,https://kun.uz/ru/50716447,Гиперспектральный спутник Samarkand-2028 выведут на орбиту 5 августа,2026-08-04T10:30:00+05:00,133.0,2.0,1.0,0.0,1.0,сайт,контекст
1,"2028, samarkand-, спутник, орбиту, успешно, гиперспектральный",LEAP News,сайт,https://leap.uz/ru/2026/08/04/samarkand-2028-satellite-launch,Гиперспектральный спутник Samarkand-2028 запустят на орбиту 5 августа,2026-08-04T19:54:00+05:00,24.3,False,251,4,0,3,False,1,2026-08-05T10:08:00+05:00,контекст,https://leap.uz/ru/2026/08/04/samarkand-2028-satellite-launch,,,251.0,4.0,0.0,3.0,,repo,контекст
1,"2028, samarkand-, спутник, орбиту, успешно, гиперспектральный",Spot.uz,telegram,https://t.me/spotuz/39271,Спутник «Samarkand-2028» с узбекским ИИ-модулем успешно выведен на орбиту,2026-08-05T09:43:29+05:00,38.2,False,104,0,0,0,False,0,,только факт,https://www.spot.uz/ru/2026/08/05/samarkand-2028/,Спутник «Samarkand-2028» с узбекским ИИ-модулем успешно выведен на орбиту,2026-08-05T09:40:45+05:00,310.0,5.0,0.0,0.0,1.0,сайт,контекст
1,"2028, samarkand-, спутник, орбиту, успешно, гиперспектральный",Podrobno.uz,telegram,https://t.me/podrobno/89450,Спутник Узбекистана Samarkand-2028 успешно выведен на орбиту. Запуск состоялся 5 августа с морской платформы у,2026-08-05T09:45:02+05:00,38.2,False,30,0,0,0,False,2,2026-08-05T19:02:08+05:00,только факт,https://podrobno.uz/cat/tehnp/sputnik-samarkand-2028-s-uzbekskim-modulem-ii-vyshel-na-orbitu-video/,Спутник Samarkand-2028 с узбекским модулем ИИ успешно выведен на орбиту. Видео,2026-08-05T00:00:00+05:00,126.0,2.0,0.0,1.0,1.0,сайт,контекст
2,"отношении, проверку, районов, служебную, хокимов, агентства",UzNews.uz,telegram,https://t.me/uznews/48580,В Ташкенте проведут служебную проверку в отношении хокимов десяти районов,2026-08-04T10:05:40+05:00,0.0,True,21,0,0,0,False,0,,только факт,https://uznews.uz/ru/news/111714,В Ташкенте проведут служебную проверку в отношении хокимов десяти районов,2026-08-04T00:00:00+05:00,73.0,1.0,0.0,1.0,1.0,сайт,только факт
2,"отношении, проверку, районов, служебную, хокимов, агентства",Gazeta.uz,telegram,https://t.me/gazetauz/63329,В отношении хокимов 10 из 12 районов Ташкента проведут служебную проверку по представлению Агентства по,2026-08-04T10:30:23+05:00,0.4,False,94,1,0,0,False,0,,только факт,https://www.gazeta.uz/ru/2026/08/04/internal-investigation/,В отношении хокимов 10 районов Ташкента начали служебную проверку,2026-08-04T10:25:39+05:00,240.0,1.0,1.0,1.0,2.0,сайт,только факт
2,"отношении, проверку, районов, служебную, хокимов, агентства",Repost.uz,telegram,https://t.me/RepostUZ/85120,В отношении 10 районных хокимов Ташкента проведут служебную проверку,2026-08-04T10:45:58+05:00,0.7,False,28,0,0,0,False,0,,только факт,https://repost.uz/izuchat-dovodi,В отношении 10 районных хокимов Ташкента проведут служебную проверку,2026-08-04T10:18:00+05:00,76.0,1.0,0.0,1.0,2.0,сайт,только факт
2,"отношении, проверку, районов, служебную, хокимов, агентства",Podrobno.uz,telegram,https://t.me/podrobno/89415,Хокимов десяти районов Ташкента проверят после представления Агентства по противодействию коррупции. Соответствующее распоряжение подписал хоким,2026-08-04T11:44:57+05:00,1.7,False,29,0,0,0,False,0,,только факт,https://podrobno.uz/cat/obchestvo/antikor-initsiiroval-proverku-khokimov-desyati-rayonov-tashkenta/,Антикор инициировал проверку хокимов десяти районов Ташкента,2026-08-04T00:00:00+05:00,89.0,0.0,0.0,1.0,1.0,сайт,только факт
2,"отношении, проверку, районов, служебную, хокимов, агентства",Spot.uz,telegram,https://t.me/spotuz/39254,Хокимият Ташкента проведет служебную проверку в отношении глав 10 районов,2026-08-04T12:25:02+05:00,2.3,False,74,0,0,0,False,0,,только факт,https://www.spot.uz/ru/2026/08/04/inner-investigation/,Хокимият Ташкента проведет служебную проверку в отношении глав 10 районов,2026-08-04T11:07:50+05:00,199.0,0.0,1.0,1.0,1.0,сайт,только факт
3,"обрушении, приговор, путепровода, малика, пересечении, темура",UzNews.uz,telegram,https://t.me/uznews/48597,"Присвоено 7,4 млрд сумов: вынесен приговор по делу об обрушении путепровода в Ташкенте",2026-08-04T18:27:30+05:00,0.0,True,37,0,0,0,False,0,,только факт,https://uznews.uz/ru/news/111742,"Присвоено 7,4 млрд сумов: вынесен приговор по делу об обрушении путепровода в Ташкенте",2026-08-04T00:00:00+05:00,533.0,6.0,4.0,0.0,0.0,сайт,контекст
3,"обрушении, приговор, путепровода, малика, пересечении, темура",Repost.uz,telegram,https://t.me/RepostUZ/85145,В Ташкенте вынесли приговор по делу об обрушении части путепровода,2026-08-04T18:53:58+05:00,0.4,False,26,0,0,0,False,0,,только факт,https://repost.uz/narusheniya-priveli-k-incidentu,В Ташкенте вынесли приговор по делу об обрушении части путепровода,2026-08-04T18:29:00+05:00,411.0,0.0,3.0,0.0,1.0,сайт,контекст
3,"обрушении, приговор, путепровода, малика, пересечении, темура",Podrobno.uz,telegram,https://t.me/podrobno/89439,В Ташкенте суд вынес приговор по делу об обрушении части путепровода на пересечении улиц Темура,2026-08-04T18:56:22+05:00,0.5,False,42,0,0,0,False,0,,только факт,https://podrobno.uz/cat/proisshestviya/za-obrushenie-puteprovoda-na-ulitse-temura-malika-v-tashkente-osuzhdeny-shest-chelovek/,За обрушение путепровода на улице Темура Малика в Ташкенте осуждены шесть человек,2026-08-04T00:00:00+05:00,224.0,2.0,1.0,0.0,0.0,сайт,контекст
3,"обрушении, приговор, путепровода, малика, пересечении, темура",Kun.uz,telegram,https://t.me/kunuzru/73565,Семь миллиардов похищено на строительстве обрушившегося путепровода в Ташкенте,2026-08-04T19:09:58+05:00,0.7,False,119,0,0,0,False,0,,только факт,https://kun.uz/ru/32339789,,,,,,,,текст не извлёкся,только факт
3,"обрушении, приговор, путепровода, малика, пересечении, темура",Gazeta.uz,telegram,https://t.me/gazetauz/63356,Мирзо-Улугбекский районный суд вынес приговор по делу об обрушении подпорной стены путепровода на пересечении улиц,2026-08-05T12:50:42+05:00,18.4,False,54,0,0,0,False,0,,только факт,https://www.gazeta.uz/ru/2026/08/05/bridge/,Шесть человек оштрафованы по делу об обрушении подпорной стены путепровода в Ташкенте,2026-08-05T12:00:08+05:00,1212.0,3.0,1.0,0.0,0.0,сайт,контекст
4,"основе, постоянной, визовые, залоги, стран, взимать",Repost.uz,telegram,https://t.me/RepostUZ/85053,США введут визовые залоги до $20 тысяч на постоянной основе,2026-08-01T15:37:54+05:00,0.0,True,41,0,0,0,False,0,,только факт,https://repost.uz/uje-s-ponedelnika,США введут визовые залоги до $20 тысяч на постоянной основе,2026-08-01T15:29:00+05:00,194.0,0.0,1.0,0.0,2.0,сайт,только факт
4,"основе, постоянной, визовые, залоги, стран, взимать",Podrobno.uz,telegram,https://t.me/podrobno/89355,США с 3 августа на постоянной основе вводят визовые залоги для граждан 50 стран при,2026-08-03T09:34:37+05:00,41.9,False,46,0,0,0,False,0,,только факт,https://podrobno.uz/cat/world/ssha-vvodyat-vizovye-zalogi-do-20-tysyach-dollarov-dlya-50-stran/,США вводят визовые залоги до 20 тысяч долларов для 50 стран,2026-08-03T00:00:00+05:00,147.0,0.0,0.0,0.0,1.0,сайт,только факт
4,"основе, постоянной, визовые, залоги, стран, взимать",Spot.uz,telegram,https://t.me/spotuz/39237,США сделают постоянными визовые залоги для граждан 50 стран. Узбекистана в списке нет,2026-08-03T14:03:42+05:00,46.4,False,97,0,0,0,False,0,,только факт,https://www.spot.uz/ru/2026/08/01/us-visa-bond/,США сделают постоянными визовые залоги для граждан 50 стран. Узбекистана в списке нет,2026-08-01T18:40:44+05:00,387.0,1.0,3.0,0.0,2.0,сайт,контекст
4,"основе, постоянной, визовые, залоги, стран, взимать",Gazeta.uz,telegram,https://t.me/gazetauz/63315,США с 3 августа начнут на постоянной основе взимать залог при подаче заявлений на туристические,2026-08-03T14:33:01+05:00,46.9,False,51,0,0,0,False,0,,только факт,https://www.gazeta.uz/ru/2026/08/03/visa-bond/,США ввели визовый залог до $20 тысяч для граждан 50 стран,2026-08-03T14:15:43+05:00,326.0,0.0,2.0,0.0,2.0,сайт,только факт
5,"законодательства, миграционного, нарушение, ташкент, аэропорт, гражданами",LEAP News,сайт,https://leap.uz/ru/2026/08/02/us-deportation-18-uzbek-citizens,1 августа чартер из США доставил в Ташкент 18 депортированных граждан Узбекистана,2026-08-02T10:00:00+05:00,-3.2,False,359,2,1,1,False,0,,контекст,https://leap.uz/ru/2026/08/02/us-deportation-18-uzbek-citizens,,,359.0,2.0,1.0,1.0,,repo,контекст
5,"законодательства, миграционного, нарушение, ташкент, аэропорт, гражданами",Podrobno.uz,telegram,https://t.me/podrobno/89347,"В международный аэропорт Ташкента специальным чартерным рейсом доставлены 18 граждан Узбекистана, депортированных из США за",2026-08-02T13:14:01+05:00,0.0,True,30,0,0,0,False,0,,только факт,https://podrobno.uz/cat/obchestvo/iz-ssha-v-tashkent-charternym-reysom-dostavleny-18-deportirovannykh-uzbekistantsev/,Из США в Ташкент чартерным рейсом доставлены 18 депортированных узбекистанцев,2026-08-02T00:00:00+05:00,96.0,0.0,0.0,0.0,0.0,сайт,только факт
5,"законодательства, миграционного, нарушение, ташкент, аэропорт, гражданами",Repost.uz,telegram,https://t.me/RepostUZ/85068,США депортировали на родину 18 узбекистанцев,2026-08-03T10:12:01+05:00,21.0,False,26,0,0,0,False,0,,только факт,https://repost.uz/eshe-odna-partiya-nelegalov,США депортировали на родину 18 узбекистанцев,2026-08-03T09:16:00+05:00,80.0,1.0,0.0,0.0,2.0,сайт,только факт
5,"законодательства, миграционного, нарушение, ташкент, аэропорт, гражданами",Gazeta.uz,telegram,https://t.me/gazetauz/63308,"В Ташкент из США прибыли ещё 18 человек, высланные за нарушение миграционного законодательства.",2026-08-03T10:30:06+05:00,21.3,False,33,0,0,0,False,0,,только факт,https://www.gazeta.uz/ru/2026/08/03/deportation/,Из США в Узбекистан депортировано ещё 18 человек,2026-08-03T09:53:42+05:00,112.0,1.0,1.0,0.0,1.0,сайт,только факт
