event_id,event,outlet,channel,url,headline,published_at,lag_hours,first,words,named_sources,quotes,primary_doc_links,clickbait_headline,returns,return_at,depth
1,"samarkand-, спутник, 2028, орбиту, успешно, модулем",UzNews.uz,telegram,https://t.me/uznews/48575,Спутник Samarkand-2028 запустят на орбиту 5 августа,2026-08-03T19:33:09+05:00,0.0,True,27,0,0,0,False,1,2026-08-05T09:24:04+05:00,только факт
1,"samarkand-, спутник, 2028, орбиту, успешно, модулем",Repost.uz,telegram,https://t.me/RepostUZ/85104,"Стало известно, когда запустят спутник Samarkand-2028",2026-08-03T20:45:33+05:00,1.2,False,52,0,0,0,True,2,2026-08-05T09:19:58+05:00,только факт
1,"samarkand-, спутник, 2028, орбиту, успешно, модулем",Kun.uz,telegram,https://t.me/kunuzru/73553,Гиперспектральный спутник Samarkand-2028 выведут на орбиту 5 августа,2026-08-04T11:50:08+05:00,16.3,False,105,0,1,0,False,0,,только факт
1,"samarkand-, спутник, 2028, орбиту, успешно, модулем",LEAP News,сайт,https://leap.uz/ru/2026/08/04/samarkand-2028-satellite-launch,Гиперспектральный спутник Samarkand-2028 запустят на орбиту 5 августа,2026-08-04T19:54:00+05:00,24.3,False,251,3,0,3,False,1,2026-08-05T10:08:00+05:00,контекст
1,"samarkand-, спутник, 2028, орбиту, успешно, модулем",Spot.uz,telegram,https://t.me/spotuz/39271,Спутник «Samarkand-2028» с узбекским ИИ-модулем успешно выведен на орбиту,2026-08-05T09:43:29+05:00,38.2,False,104,0,0,0,False,0,,только факт
1,"samarkand-, спутник, 2028, орбиту, успешно, модулем",Podrobno.uz,telegram,https://t.me/podrobno/89450,Спутник Узбекистана Samarkand-2028 успешно выведен на орбиту. Запуск состоялся 5 августа с морской платформы у,2026-08-05T09:45:02+05:00,38.2,False,30,0,0,0,False,2,2026-08-05T19:02:08+05:00,только факт
2,"районов, проверку, отношении, хокимов, служебную, агентства",UzNews.uz,telegram,https://t.me/uznews/48580,В Ташкенте проведут служебную проверку в отношении хокимов десяти районов,2026-08-04T10:05:40+05:00,0.0,True,21,0,0,0,False,0,,только факт
2,"районов, проверку, отношении, хокимов, служебную, агентства",Gazeta.uz,telegram,https://t.me/gazetauz/63329,В отношении хокимов 10 из 12 районов Ташкента проведут служебную проверку по представлению Агентства по,2026-08-04T10:30:23+05:00,0.4,False,94,1,0,0,False,0,,только факт
2,"районов, проверку, отношении, хокимов, служебную, агентства",Repost.uz,telegram,https://t.me/RepostUZ/85120,В отношении 10 районных хокимов Ташкента проведут служебную проверку,2026-08-04T10:45:58+05:00,0.7,False,28,0,0,0,False,0,,только факт
2,"районов, проверку, отношении, хокимов, служебную, агентства",Podrobno.uz,telegram,https://t.me/podrobno/89415,Хокимов десяти районов Ташкента проверят после представления Агентства по противодействию коррупции. Соответствующее распоряжение подписал хоким,2026-08-04T11:44:57+05:00,1.7,False,29,0,0,0,False,0,,только факт
2,"районов, проверку, отношении, хокимов, служебную, агентства",Spot.uz,telegram,https://t.me/spotuz/39254,Хокимият Ташкента проведет служебную проверку в отношении глав 10 районов,2026-08-04T12:25:02+05:00,2.3,False,74,0,0,0,False,0,,только факт
3,"путепровода, обрушении, приговор, пересечении, малика, темура",UzNews.uz,telegram,https://t.me/uznews/48597,"Присвоено 7,4 млрд сумов: вынесен приговор по делу об обрушении путепровода в Ташкенте",2026-08-04T18:27:30+05:00,0.0,True,37,0,0,0,False,0,,только факт
3,"путепровода, обрушении, приговор, пересечении, малика, темура",Repost.uz,telegram,https://t.me/RepostUZ/85145,В Ташкенте вынесли приговор по делу об обрушении части путепровода,2026-08-04T18:53:58+05:00,0.4,False,26,0,0,0,False,0,,только факт
3,"путепровода, обрушении, приговор, пересечении, малика, темура",Podrobno.uz,telegram,https://t.me/podrobno/89439,В Ташкенте суд вынес приговор по делу об обрушении части путепровода на пересечении улиц Темура,2026-08-04T18:56:22+05:00,0.5,False,42,0,0,0,False,0,,только факт
3,"путепровода, обрушении, приговор, пересечении, малика, темура",Kun.uz,telegram,https://t.me/kunuzru/73565,Семь миллиардов похищено на строительстве обрушившегося путепровода в Ташкенте,2026-08-04T19:09:58+05:00,0.7,False,119,0,0,0,False,0,,только факт
3,"путепровода, обрушении, приговор, пересечении, малика, темура",Gazeta.uz,telegram,https://t.me/gazetauz/63356,Мирзо-Улугбекский районный суд вынес приговор по делу об обрушении подпорной стены путепровода на пересечении улиц,2026-08-05T12:50:42+05:00,18.4,False,54,0,0,0,False,0,,только факт
4,"постоянной, основе, визовые, залоги, граждан, стран",Repost.uz,telegram,https://t.me/RepostUZ/85053,США введут визовые залоги до $20 тысяч на постоянной основе,2026-08-01T15:37:54+05:00,0.0,True,41,0,0,0,False,0,,только факт
4,"постоянной, основе, визовые, залоги, граждан, стран",Podrobno.uz,telegram,https://t.me/podrobno/89355,США с 3 августа на постоянной основе вводят визовые залоги для граждан 50 стран при,2026-08-03T09:34:37+05:00,41.9,False,46,0,0,0,False,0,,только факт
4,"постоянной, основе, визовые, залоги, граждан, стран",Spot.uz,telegram,https://t.me/spotuz/39237,США сделают постоянными визовые залоги для граждан 50 стран. Узбекистана в списке нет,2026-08-03T14:03:42+05:00,46.4,False,97,0,0,0,False,0,,только факт
