url,outlet,published_at,title,words,обещание_заголовка,обещание_выполнено,чем_открывается,чем_удерживает,факт_интерпретация_мнение,на_что_опирается,тон,адресат,чем_заканчивается,самодостаточность,заметка
https://daryo.uz/ru/2026/07/14/period-zarabotka-raschet-pensii-uzbekistan,Daryo.uz,2026-07-14T17:28:00+05:00,"Период заработка, учитываемого при расчете пенсии, предлагается увеличить с 5 до 20 лет",298,период расчёта пенсии вырастет с 5 до 20 лет,да,факт,цифры,только факт,"пресс-служба президента, без ссылки",нейтральный,массовый,ничего,да,перечень поручений без вывода
https://daryo.uz/ru/2026/07/08/9-iyulya-uzbekistan-prognoz-pogoda,Daryo.uz,2026-07-08T11:37:00+05:00,9 июля в Узбекистане ожидается жара до 43 градусов,200,жара до 43 градусов 9 июля,да,факт,практическая польза,только факт,пересказ Узгидромета,нейтральный,массовый,ничего,да,"сводка по регионам, ноль интерпретации"
https://daryo.uz/ru/2026/07/11/chislo-ekonomicheski-aktivnyx-zhenshchin-uzbekistan,Daryo.uz,2026-07-11T09:26:00+05:00,К 2030 году число экономически активных женщин в Узбекистане может превысить 7 млн,153,к 2030 году экономически активных женщин станет более 7 млн,да,факт,цифры,факт + контекст,"исследование НИИ, без ссылки",нейтральный,массовый,вывод,да,"прогноз подан как данность, метод не описан"
https://daryo.uz/ru/2026/07/08/kibermoshenniki-poxishchavshie-dengi-u-inostrantsev,Daryo.uz,2026-07-08T15:06:23+05:00,"В Ташкенте задержали группу кибермошенников, похищавших деньги у иностранцев",231,задержана группа кибермошенников,да,факт,цифры и масштаб,только факт,МВД,нейтральный,массовый,ничего,да,внутри есть подзаголовок «Как действовали мошенники»
https://daryo.uz/ru/2026/07/09/portugaliya-braga-perexod-futbolistov-iz-uzbekistana,Daryo.uz,2026-07-09T22:18:21+05:00,Португальская «Брага» официально объявила о переходе двух футболистов из Узбекистана,132,«Брага» объявила о переходе двух узбекистанцев,да,факт,имена и суммы,только факт,клуб,нейтральный,массовый,ничего,да,
https://daryo.uz/ru/2026/07/28/eldor-shomurodov-vtoroy-samyy-krasivyy-gol-na-chm-2026,Daryo.uz,2026-07-28T08:50:44+05:00,Гол Элдора Шомуродова занял второе место в голосовании за самый красивый гол ЧМ-2026,62,гол Шомуродова стал вторым в голосовании,да,факт,имя,только факт,ФИФА,нейтральный,массовый,ничего,частично,без контекста ЧМ читается наполовину
https://daryo.uz/ru/2026/07/23/abdukodir-xusanov-samye-prosmatrivaemye-igroki-chm-2026,Daryo.uz,2026-07-23T10:08:02+05:00,Абдукодир Хусанов стал одним из самых просматриваемых игроков ЧМ-2026 на Transfermarkt (фото),143,Хусанов в символической сборной Transfermarkt,да,факт,имена и стоимости,только факт,Transfermarkt,нейтральный,массовый,отсылка «напомним»,да,
https://daryo.uz/ru/2026/07/18/uzbekistan-kvoty-priema-v-vuzy-na-20262027-uchebnyy-god,Daryo.uz,2026-07-18T20:23:02+05:00,В Узбекистане утвердили квоты приема в вузы на 2026/2027 учебный год,403,утверждены квоты приёма в вузы,да,перечень,практическая польза,только факт,госкомиссия,нейтральный,массовый,ничего,да,текст начинается с обрывка списка — сломанная вёрстка лида
https://www.gazeta.uz/ru/2026/08/05/livestock-farming,Gazeta.uz,2026-08-05T20:28:11+05:00,На развитие животноводства и птицеводства в Узбекистане направят почти $900 млн,519,на животноводство направят почти $900 млн,да,факт,цифры,только факт,презентация президенту,нейтральный,деловой,ничего,да,
https://www.gazeta.uz/ru/2026/07/14/kyrgyzstan,Gazeta.uz,2026-07-14T14:49:29+05:00,Кыргызстан ввёл бессрочный запрет на вывоз бензина и дизтоплива,146,Кыргызстан запретил вывоз топлива,да,факт,практическая польза,только факт,чужая публикация 24.kg со ссылкой,нейтральный,массовый,отсылка,да,источник назван прямо в первом абзаце
