outlet,url,published_at,title_chars,title_le_60,title_60_90,title_gt_90,lead_chars,lead_words,lead_words_in_norm,lead_chars_in_norm,lead_sentences,lead_one_sentence,err_quote_lead,err_question_lead,err_clerky_lead,err_clutter_lead,attrib_total,attrib_neutral_share,attrib_emphatic,attrib_loaded,has_emphatic,has_loaded,genitive_chains,split_predicates,has_genitive_chain,has_split_predicate,genitive_chains_per_1000,split_predicates_per_1000,syllables_per_word,syll_in_norm,kicker_whatnext,kicker_context,kicker_checklist,has_any_kicker
Gazeta.uz,https://www.gazeta.uz/ru/2026/07/08/argentina-egypt,2026-07-08T01:01:57+05:00,78,False,True,False,256,39,False,False,2,False,False,False,False,False,1,1.0,0,0,False,False,0,0,False,False,0.0,0.0,2.4,False,False,False,False,False
Gazeta.uz,https://www.gazeta.uz/ru/2026/07/08/infant-mortality,2026-07-08T13:19:26+05:00,130,False,False,True,299,38,False,False,2,False,False,False,False,False,7,0.429,4,0,True,False,0,0,False,False,0.0,0.0,2.89,False,False,False,False,False
Gazeta.uz,https://www.gazeta.uz/ru/2026/07/08/uzum-tezkor,2026-07-08T18:00:53+05:00,59,True,False,False,363,45,False,False,2,False,False,False,False,True,0,,0,0,False,False,0,0,False,False,0.0,0.0,2.81,False,False,False,False,False
Gazeta.uz,https://www.gazeta.uz/ru/2026/07/08/uzcard,2026-07-08T19:00:56+05:00,86,False,True,False,396,44,False,False,1,True,False,False,False,True,4,0.25,3,0,True,False,1,2,True,True,2.38,4.76,3.38,False,False,False,False,False
Gazeta.uz,https://www.gazeta.uz/ru/2026/07/08/play,2026-07-08T19:45:25+05:00,58,True,False,False,142,20,True,True,2,False,False,False,False,False,5,0.6,2,0,True,False,0,0,False,False,0.0,0.0,2.7,False,False,False,False,False
Gazeta.uz,https://www.gazeta.uz/ru/2026/07/09/blackrock-uzbekistan,2026-07-09T10:44:47+05:00,88,False,True,False,178,21,True,True,1,True,False,False,False,False,6,0.5,3,0,True,False,0,1,False,True,0.0,3.05,2.96,False,False,False,False,False
Gazeta.uz,https://www.gazeta.uz/ru/2026/07/09/mobiuz,2026-07-09T11:00:41+05:00,59,True,False,False,333,42,False,False,3,False,False,False,False,True,0,,0,0,False,False,0,0,False,False,0.0,0.0,2.65,False,False,False,False,False
Gazeta.uz,https://www.gazeta.uz/ru/2026/07/09/mirziyoyev-lukashenko,2026-07-09T15:40:11+05:00,101,False,False,True,186,24,True,True,2,False,False,False,False,False,26,0.692,8,0,True,False,0,1,False,True,0.0,1.24,2.64,False,False,False,False,False
Gazeta.uz,https://www.gazeta.uz/ru/2026/07/09/law,2026-07-09T19:23:59+05:00,106,False,False,True,154,21,True,True,1,True,False,False,False,False,12,0.583,4,1,True,True,0,0,False,False,0.0,0.0,2.88,False,False,False,False,False
Gazeta.uz,https://www.gazeta.uz/ru/2026/07/09/sumitomo,2026-07-09T19:42:47+05:00,96,False,False,True,267,30,True,False,1,True,False,False,False,False,3,0.667,1,0,True,False,0,0,False,False,0.0,0.0,3.1,False,False,False,False,False
Gazeta.uz,https://www.gazeta.uz/ru/2026/07/10/gas-import,2026-07-10T12:16:18+05:00,91,False,False,True,248,37,False,True,2,False,False,False,False,False,1,1.0,0,0,False,False,0,0,False,False,0.0,0.0,2.49,False,False,False,False,False
Gazeta.uz,https://www.gazeta.uz/ru/2026/07/10/ali-khamenei,2026-07-10T13:59:51+05:00,48,True,False,False,210,30,True,True,1,True,False,False,False,False,2,1.0,0,0,False,False,0,1,False,True,0.0,4.13,2.68,False,False,False,False,False
Gazeta.uz,https://www.gazeta.uz/ru/2026/07/10/condolences,2026-07-10T16:24:10+05:00,51,True,False,False,292,35,True,False,1,True,False,False,False,False,1,1.0,0,0,False,False,0,0,False,False,0.0,0.0,2.79,False,False,False,False,False
Gazeta.uz,https://www.gazeta.uz/ru/2026/07/11/wc-spain-belgium,2026-07-11T08:35:41+05:00,63,False,True,False,639,101,False,False,4,False,False,False,False,True,1,0.0,1,0,True,False,0,0,False,False,0.0,0.0,2.41,False,False,False,False,False
Gazeta.uz,https://www.gazeta.uz/ru/2026/07/11/aventus-group,2026-07-11T09:00:52+05:00,65,False,True,False,528,79,False,False,4,False,False,False,False,True,0,,0,0,False,False,0,0,False,False,0.0,0.0,2.56,False,True,False,False,True
Gazeta.uz,https://www.gazeta.uz/ru/2026/07/13/accidents,2026-07-13T07:46:45+05:00,62,False,True,False,223,28,True,True,2,False,False,False,False,False,1,1.0,0,0,False,False,0,0,False,False,0.0,0.0,2.72,False,False,False,False,False
Gazeta.uz,https://www.gazeta.uz/ru/2026/07/13/construction-violations,2026-07-13T11:42:56+05:00,90,False,True,False,231,27,True,True,2,False,False,False,False,False,4,1.0,0,0,False,False,0,0,False,False,0.0,0.0,2.98,False,False,False,False,False
Gazeta.uz,https://www.gazeta.uz/ru/2026/07/13/construction,2026-07-13T13:13:06+05:00,80,False,True,False,197,25,True,True,2,False,False,False,False,False,6,0.833,1,0,True,False,0,0,False,False,0.0,0.0,2.96,False,False,False,False,False
