outlet,week,city,culture,economy,gov,incidents,other,society,tech,world
Daryo.uz,2026-W28,4,2,2,2,3,0,2,1,2
Daryo.uz,2026-W29,6,3,3,3,1,0,3,4,1
Daryo.uz,2026-W30,5,5,6,2,3,0,2,1,3
Daryo.uz,2026-W31,9,2,3,3,3,0,1,0,0
Daryo.uz,2026-W32,6,0,5,2,0,0,3,1,1
Gazeta.uz,2026-W28,1,1,4,4,1,0,1,2,1
Gazeta.uz,2026-W29,8,1,5,2,4,0,2,3,2
Gazeta.uz,2026-W30,8,1,9,2,4,0,2,3,0
Gazeta.uz,2026-W31,8,0,8,6,3,0,2,0,0
Gazeta.uz,2026-W32,2,0,9,4,2,0,0,4,1
Kun.uz,2026-W28,4,0,5,7,3,1,1,1,0
Kun.uz,2026-W29,5,0,7,9,3,0,5,1,1
Kun.uz,2026-W30,6,4,4,1,4,0,0,0,1
Kun.uz,2026-W31,3,1,5,2,8,0,2,0,2
Kun.uz,2026-W32,4,0,3,3,4,0,1,1,3
LEAP News,2026-W31,5,0,13,2,2,0,2,1,7
LEAP News,2026-W32,43,5,95,43,31,0,21,6,27
Podrobno.uz,2026-W28,0,1,2,0,0,0,0,0,0
Podrobno.uz,2026-W29,0,1,4,4,0,0,0,0,1
Podrobno.uz,2026-W30,5,0,8,1,0,0,1,0,2
Podrobno.uz,2026-W31,5,2,6,2,6,0,4,0,1
Podrobno.uz,2026-W32,11,5,15,11,10,0,3,2,3
Repost.uz,2026-W28,3,1,5,2,3,0,2,0,2
Repost.uz,2026-W29,4,0,3,4,5,1,3,0,6
Repost.uz,2026-W30,5,1,4,5,4,0,1,0,4
Repost.uz,2026-W31,4,0,6,6,4,0,0,1,7
Repost.uz,2026-W32,5,3,3,4,3,0,2,1,3
Spot.uz,2026-W28,4,0,5,3,0,0,1,3,1
Spot.uz,2026-W29,7,1,8,1,1,0,0,3,2
Spot.uz,2026-W30,4,2,13,2,1,0,0,1,2
Spot.uz,2026-W31,9,2,15,4,0,0,0,2,0
Spot.uz,2026-W32,3,2,11,1,2,0,0,3,1
UzNews.uz,2026-W29,2,0,4,0,2,0,0,0,0
UzNews.uz,2026-W30,5,1,6,4,5,0,0,1,1
UzNews.uz,2026-W31,6,0,8,2,4,1,5,0,2
UzNews.uz,2026-W32,6,1,9,4,8,0,1,2,3
Yuz.uz,2026-W28,4,3,4,3,1,1,2,0,0
Yuz.uz,2026-W29,6,3,5,2,2,0,4,1,3
Yuz.uz,2026-W30,4,2,7,5,6,0,2,0,1
Yuz.uz,2026-W31,6,2,5,2,3,0,3,2,4
Yuz.uz,2026-W32,4,4,2,1,3,1,2,2,1
